127.0.0.1 - - [03/Feb/2018:12:55:14 -0800] "GET / HTTP/1.1" 200 11248
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:56:34 -0800] "GET /Titan HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:56:34 -0800] "GET /Titan/ HTTP/1.1" 200 2772
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:56:34 -0800] "GET /Titan/styles/main.css HTTP/1.1" 200 3353
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:56:34 -0800] "GET /Titan/scripts/main.js HTTP/1.1" 200 12148
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:56:35 -0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:56:36 -0800] "GET /Titan/search?user_id=1111&lat=32.8594&lon=-117.2073 HTTP/1.1" 200 7860
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:56:42 -0800] "POST /Titan/history HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:56:43 -0800] "POST /Titan/history HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:56:44 -0800] "POST /Titan/history HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:56:45 -0800] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 2007
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:56:49 -0800] "GET /Titan/search?user_id=1111&lat=32.8594&lon=-117.2073 HTTP/1.1" 200 7857
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:56:54 -0800] "GET /Titan/ HTTP/1.1" 200 2772
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:56:54 -0800] "GET /Titan/search?user_id=1111&lat=32.8594&lon=-117.2073 HTTP/1.1" 200 7857
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:56:58 -0800] "DELETE /Titan/history HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:57:00 -0800] "DELETE /Titan/history HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:57:01 -0800] "DELETE /Titan/history HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:57:02 -0800] "DELETE /Titan/history HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:57:03 -0800] "DELETE /Titan/history HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:57:04 -0800] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:57:05 -0800] "GET /Titan/search?user_id=1111&lat=32.8594&lon=-117.2073 HTTP/1.1" 200 7862
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:57:09 -0800] "POST /Titan/history HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:57:10 -0800] "POST /Titan/history HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:57:11 -0800] "POST /Titan/history HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:57:11 -0800] "POST /Titan/history HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:57:13 -0800] "POST /Titan/history HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:57:14 -0800] "POST /Titan/history HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:57:15 -0800] "POST /Titan/history HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:57:16 -0800] "POST /Titan/history HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:57:18 -0800] "POST /Titan/history HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:57:19 -0800] "POST /Titan/history HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:57:20 -0800] "POST /Titan/history HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:57:21 -0800] "POST /Titan/history HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:57:22 -0800] "POST /Titan/history HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:57:23 -0800] "POST /Titan/history HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:57:25 -0800] "POST /Titan/history HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:57:27 -0800] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 5855
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:57:30 -0800] "GET /Titan/search?user_id=1111&lat=32.8594&lon=-117.2073 HTTP/1.1" 200 7847
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:57:35 -0800] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 5855
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:57:36 -0800] "DELETE /Titan/history HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:57:37 -0800] "DELETE /Titan/history HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:57:37 -0800] "DELETE /Titan/history HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:57:38 -0800] "DELETE /Titan/history HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:57:39 -0800] "DELETE /Titan/history HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:57:39 -0800] "DELETE /Titan/history HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:57:40 -0800] "DELETE /Titan/history HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:57:41 -0800] "DELETE /Titan/history HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:57:41 -0800] "DELETE /Titan/history HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:57:43 -0800] "DELETE /Titan/history HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:57:44 -0800] "DELETE /Titan/history HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:57:45 -0800] "DELETE /Titan/history HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:57:46 -0800] "DELETE /Titan/history HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:57:46 -0800] "DELETE /Titan/history HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [03/Feb/2018:12:57:47 -0800] "DELETE /Titan/history HTTP/1.1" 200 31
